"nc0024"	; Data Format
icEncodeFloat	; Encoding

;Source Data Format: 'nmcl'
;Source Data Encoding: icEncodeValue
;Source data is after semicolon

;Profiles applied
; ICC/P-CMYK-S_Overprint_Profile.icc
; ICC/S-Spec380_10_730-D50_2deg.icc

    0.3330    0.3337    0.3352    0.3379    0.3416    0.3428    0.3433    0.3430    0.3433    0.3433    0.3433    0.3433    0.3433    0.3435    0.3440    0.3452    0.3462    0.3474    0.3489    0.3501    0.3518    0.3533    0.3547    0.3560    0.3569    0.3577    0.3582    0.3584    0.3586    0.3586    0.3586    0.3589    0.3589    0.3591    0.3591    0.3589	;{ "Silver" }    1.0000
    0.0057    0.0072    0.0093    0.0138    0.0193    0.0213    0.0220    0.0220    0.0221    0.0222    0.0221    0.0218    0.0213    0.0211    0.0212    0.0213    0.0213    0.0212    0.0209    0.0205    0.0203    0.0204    0.0205    0.0208    0.0212    0.0215    0.0218    0.0219    0.0218    0.0218    0.0218    0.0220    0.0222    0.0225    0.0225    0.0224	;{ "Silver" }    0.0000
