"nc0024"	; Data Format
icEncodeFloat	; Encoding

;Source Data Format: 'nmcl'
;Source Data Encoding: icEncodeValue
;Source data is after semicolon

;Profiles applied
; ICC/P-CMYK-S_Overprint_Profile.icc
; ICC/S-Spec380_10_730-D50_2deg.icc

    0.7866    0.7949    0.8052    0.8262    0.8521    0.8594    0.8579    0.8486    0.8350    0.8179    0.7988    0.7808    0.7651    0.7520    0.7412    0.7339    0.7314    0.7319    0.7363    0.7437    0.7544    0.7676    0.7793    0.7886    0.7959    0.8013    0.8057    0.8086    0.8105    0.8115    0.8115    0.8115    0.8115    0.8115    0.8120    0.8125	;{ "Silver" }    1.0000
    0.2920    0.3684    0.4631    0.6616    0.9028    0.9868    1.0107    0.9985    0.9775    0.9551    0.9263    0.9087    0.9048    0.9067    0.9033    0.8955    0.8882    0.8735    0.8511    0.8364    0.8408    0.8647    0.8730    0.8691    0.8706    0.8765    0.8867    0.8975    0.9072    0.9116    0.9106    0.9072    0.9033    0.9038    0.9097    0.9194	;{ "Silver" }    0.0000
